開發集 n=134｜4SD 排除 23 筆｜前臂・100 (R,X) 8 特徵｜SGL 全群 72 特徵 / 10 群｜GBM 後端 xgboost

外層折數 50｜最常選的 (group_reg, l1_reg)：(np.float64(0.1778279410038923), np.float64(0.03162277660168379))

群             選入%      平均範數     範數SD     平均佔比     佔比中位
軀幹・100       100%     0.690    0.296    28.5%    30.4%
前臂・100       100%     0.631    0.344    25.1%    25.6%
上臂・100        50%     0.400    0.515    12.6%     1.6%
小腿・50         72%     0.373    0.430    11.3%     9.4%
上臂・50         78%     0.359    0.288    18.0%    18.2%
大腿・100        24%     0.101    0.263     1.9%     0.0%
小腿・100        24%     0.081    0.227     1.4%     0.0%
軀幹・50          8%     0.059    0.286     0.7%     0.0%
前臂・50          6%     0.018    0.087     0.3%     0.0%
大腿・50          2%     0.012    0.083     0.1%     0.0%

已存 13_sgl_norms.npz
